## 符号组
Ⅻ	ofld
ⅰ	oflx
ⅱ	oflx
ⅲ	oflx
ⅳ	oflx
ⅴ	oflx
ⅵ	oflx
ⅶ	oflx
ⅷ	oflx
ⅸ	oflx
ⅹ	oflx
℃	oftu
°	oftu
‰	oftu
♂	oftu
♀	oftu
§	oftu
№	oftu
☆	oftu
★	oftu
○	oftu
●	oftu
◎	oftu
◇	oftu
◆	oftu
□	oftu
■	oftu
△	oftu
▲	oftu
※	oftu
〓	oftu
＃	oftu
＆	oftu
＠	oftu
＼	oftu
＾	oftu
＿	oftu
￣	oftu
＋	ofux
－	ofux
×	ofux
÷	ofux
±	ofux
＝	ofux
＜	ofux
＞	ofux
∈	ofux
∏	ofux
∑	ofux
∕	ofux
√	ofux
∝	ofux
∞	ofux
∟	ofux
∠	ofux
∣	ofux
∥	ofux
¬	ofux
∧	ofux
∨	ofux
∩	ofux
∪	ofux
∫	ofux
∮	ofux
∴	ofux
∵	ofux
∶	ofux
∷	ofux
∽	ofux
≈	ofux
≌	ofux
≒	ofux
≠	ofux
≡	ofux
≤	ofux
≥	ofux
≦	ofux
≧	ofux
≮	ofux
≯	ofux
⊕	ofux
⊙	ofux
⊥	ofux
⊿	ofux
㈠	ofvu
㈡	ofvu
㈢	ofvu
㈣	ofvu
㈤	ofvu
㈥	ofvu
㈦	ofvu
㈧	ofvu
㈨	ofvu
㈩	ofvu
ㄅ	ofvy
ㄆ	ofvy
ㄇ	ofvy
ㄈ	ofvy
ㄉ	ofvy
ㄊ	ofvy
ㄋ	ofvy
ㄌ	ofvy
ㄍ	ofvy
ㄎ	ofvy
ㄏ	ofvy
ㄐ	ofvy
ㄑ	ofvy
ㄒ	ofvy
ㄓ	ofvy
ㄔ	ofvy
ㄕ	ofvy
ㄖ	ofvy
ㄗ	ofvy
ㄘ	ofvy
ㄙ	ofvy
ㄧ	ofvy
ㄨ	ofvy
ㄩ	ofvy
ㄚ	ofvy
ㄛ	ofvy
ㄜ	ofvy
ㄝ	ofvy
