祊	beng	4	rime_pinyin_simp
甏	beng	5	rime_pinyin_simp
伻	beng	7	rime_pinyin_simp
繃	beng	7	rime_pinyin_simp
蚌	beng	37	rime_pinyin_simp
嘣	beng	65	rime_pinyin_simp
迸	beng	77	rime_pinyin_simp
绷	beng	135	rime_pinyin_simp
甭	beng	253	rime_pinyin_simp
崩	beng	562	rime_pinyin_simp
蹦	beng	661	rime_pinyin_simp
泵	beng	853	rime_pinyin_simp
犕	bei	1	rime_pinyin_simp
鵯	bei	1	rime_pinyin_simp
鄁	bei	1	rime_pinyin_simp
糒	bei	2	rime_pinyin_simp
藣	bei	2	rime_pinyin_simp
骳	bei	2	rime_pinyin_simp
梖	bei	2	rime_pinyin_simp
狽	bei	2	rime_pinyin_simp
襬	bei	2	rime_pinyin_simp
憊	bei	2	rime_pinyin_simp
桮	bei	2	rime_pinyin_simp
鞁	bei	2	rime_pinyin_simp
揹	bei	3	rime_pinyin_simp
鋇	bei	3	rime_pinyin_simp
誖	bei	3	rime_pinyin_simp
椑	bei	3	rime_pinyin_simp
庳	bei	3	rime_pinyin_simp
鐾	bei	4	rime_pinyin_simp
牬	bei	4	rime_pinyin_simp
琲	bei	4	rime_pinyin_simp
鞴	bei	4	rime_pinyin_simp
褙	bei	4	rime_pinyin_simp
鹎	bei	5	rime_pinyin_simp
邶	bei	6	rime_pinyin_simp
珼	bei	7	rime_pinyin_simp
偝	bei	8	rime_pinyin_simp
輩	bei	8	rime_pinyin_simp
盃	bei	11	rime_pinyin_simp
碚	bei	14	rime_pinyin_simp
貝	bei	17	rime_pinyin_simp
臂	bei	18	rime_pinyin_simp
狈	bei	24	rime_pinyin_simp
唄	bei	25	rime_pinyin_simp
孛	bei	29	rime_pinyin_simp
備	bei	34	rime_pinyin_simp
陂	bei	40	rime_pinyin_simp
悖	bei	55	rime_pinyin_simp
钡	bei	87	rime_pinyin_simp
惫	bei	88	rime_pinyin_simp
焙	bei	92	rime_pinyin_simp
蓓	bei	164	rime_pinyin_simp
辈	bei	422	rime_pinyin_simp
卑	bei	458	rime_pinyin_simp
碑	bei	551	rime_pinyin_simp
悲	bei	984	rime_pinyin_simp
备	bei	1572	rime_pinyin_simp
贝	bei	2075	rime_pinyin_simp
杯	bei	2949	rime_pinyin_simp
倍	bei	3369	rime_pinyin_simp
背	bei	5609	rime_pinyin_simp
