---config@码表分类=主码-6
---config@码表别名=Ｏ符
😊	oi
$ddcmd(ほ,ほ)	ofrx
$ddcmd(ぼ,ぼ)	ofrx
$ddcmd(ぽ,ぽ)	ofrx
$ddcmd(ま,ま)	ofrx
$ddcmd(み,み)	ofrx
$ddcmd(む,む)	ofrx
$ddcmd(め,め)	ofrx
$ddcmd(も,も)	ofrx
$ddcmd(ゃ,ゃ)	ofrx
$ddcmd(や,や)	ofrx
$ddcmd(ゅ,ゅ)	ofrx
$ddcmd(ゆ,ゆ)	ofrx
$ddcmd(ょ,ょ)	ofrx
$ddcmd(よ,よ)	ofrx
$ddcmd(ら,ら)	ofrx
$ddcmd(り,り)	ofrx
$ddcmd(る,る)	ofrx
$ddcmd(れ,れ)	ofrx
$ddcmd(ろ,ろ)	ofrx
$ddcmd(ゎ,ゎ)	ofrx
$ddcmd(わ,わ)	ofrx
$ddcmd(ゐ,ゐ)	ofrx
$ddcmd(ゑ,ゑ)	ofrx
$ddcmd(を,を)	ofrx
$ddcmd(ん,ん)	ofrx
$ddcmd(゛,゛)	ofrx
$ddcmd(゜,゜)	ofrx
$ddcmd(ゝ,ゝ)	ofrx
$ddcmd(ゞ,ゞ)	ofrx
$ddcmd(勹,勹)	ofpp
$ddcmd(灬,灬)	ofpp
$ddcmd(冫,冫)	ofpp
$ddcmd(艹,艹)	ofpp
$ddcmd(屮,屮)	ofpp
$ddcmd(辶,辶)	ofpp
$ddcmd(刂,刂)	ofpp
$ddcmd(匚,匚)	ofpp
$ddcmd(阝,阝)	ofpp
$ddcmd(廾,廾)	ofpp
$ddcmd(丨,丨)	ofpp
$ddcmd(虍,虍)	ofpp
$ddcmd(彐,彐)	ofpp
$ddcmd(卩,卩)	ofpp
$ddcmd(钅,钅)	ofpp
$ddcmd(冂,冂)	ofpp
$ddcmd(冖,冖)	ofpp
$ddcmd(宀,宀)	ofpp
$ddcmd(疒,疒)	ofpp
$ddcmd(肀,肀)	ofpp
$ddcmd(丿,丿)	ofpp
$ddcmd(攵,攵)	ofpp
$ddcmd(凵,凵)	ofpp
$ddcmd(犭,犭)	ofpp
$ddcmd(亻,亻)	ofpp
$ddcmd(彡,彡)	ofpp
$ddcmd(饣,饣)	ofpp
$ddcmd(礻,礻)	ofpp
$ddcmd(扌,扌)	ofpp
$ddcmd(氵,氵)	ofpp
$ddcmd(纟,纟)	ofpp
$ddcmd(亠,亠)	ofpp
$ddcmd(囗,囗)	ofpp
$ddcmd(忄,忄)	ofpp
$ddcmd(讠,讠)	ofpp
$ddcmd(衤,衤)	ofpp
$ddcmd(廴,廴)	ofpp
$ddcmd(尢,尢)	ofpp
$ddcmd(夂,夂)	ofpp
$ddcmd(丶,丶)	ofpp
$ddcmd(丬,丬)	ofpp
$ddcmd(ā,ā)	ofpy
$ddcmd(á,á)	ofpy
